context	original_variable	original_label	original_expl	reverse_variable	reverse_label	reverse_expl	tags
Premise: A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.	A man repairs bicycles.	entailment	Just because a man is looking over a bicycle's rear wheel in the	A man isn't looking over a bicycle.	neutral	Just because a man isn't looking over a bicycle's rear wheel in the	negation
Premise: A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.	A man waits outside a garage.	contradiction	A man in the maintenance garage is outside.	A man is outside.	entailment	A man in the maintenance garage is not outside.	negation
Premise: A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.	A man waits outside a garage.	contradiction	A man in the maintenance garage is outside.	A man is outside.	neutral	A man in the maintenance garage isn't outside.	negation
Premise: Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.	Some people stand around.	contradiction	People cannot sit and stand at the same time.	Three people stand on a bench at a station.	contradiction	People can sit and stand at the same time.	negation
Premise: Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.	People run together.	contradiction	People cannot sit and run simultaneously.	Three people run to the station.	entailment	People can sit and run simultaneously.	negation
Premise: A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.	A child wearing a red top is standing behind a blond headed child	entailment	A child wearing a red top is standing behind a blo	A child wearing a red top is not standing behind a blond headed child sitting in a wheelbarrow.	neutral	A child wearing a red top is not standing behind a blo	negation
Premise: A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.	A child wearing a red top is standing behind a blond headed child	entailment	A child wearing a red top is standing behind a blo	A child wearing a red top isn't standing behind a blond headed child sitting in a wheelbarrow.	entailment	A child wearing a red top isn't standing behind a blo	negation
Premise: A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.	A child wearing a red top is standing on top of a blond headed child	contradiction	The child cannot be standing behind and on top of the child simultaneously.	The child is on top of the child.	entailment	The child can be standing behind and on top of the child simultaneously.	negation
Premise: A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.	A child wearing a red top is standing behind a pretty blond headed child	neutral	Not all blond headed children are pretty.	A pretty child is standing behind a pretty child sitting in a wheelbarrow.	contradiction	 all blond headed children are pretty.	negation
Premise: A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.	A lady sitting on a bench in the park.	contradiction	A person pushing a stroller down the street cannot be sitting on a bench	A person is sitting on a bench.	contradiction	A person pushing a stroller down the street can be sitting on a bench	negation
Premise: A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.	An old lady pushing a stroller down a busy street.	neutral	Not all person is old lady.	The old lady is pushing the stroller.	neutral	 all person is old lady.	negation
Premise: A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.	A person outside pushing a stroller.	entailment	A person pushing a stroller down the street is outside.	The person is not outside.	neutral	A person pushing a stroller down the street is not outside.	negation
Premise: A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.	A person outside pushing a stroller.	entailment	A person pushing a stroller down the street is outside.	The person isn't outside.	neutral	A person pushing a stroller down the street isn't outside.	negation
Premise: A dog jumping for a Frisbee in the snow.	A pet is enjoying a game of fetch with his owner.	neutral	A dog jumping for a Frisbee is not necessarily enjoying a game	A dog is enjoying a game of Frisbee.	entailment	A dog jumping for a Frisbee is necessarily enjoying a game	negation
Premise: A dog jumping for a Frisbee in the snow.	A cat washes his face and whiskers with his front paw.	contradiction	A dog is not a cat.	A cat is jumping.	neutral	A dog is a cat.	negation
Premise: A dog jumping for a Frisbee in the snow.	An animal is outside in the cold weather, playing with a plastic toy.	entailment	A dog is an animal. A Frisbee is a	An animal is jumping.	entailment	A dog is not an animal. A Frisbee is a	negation
Premise: A dog jumping for a Frisbee in the snow.	An animal is outside in the cold weather, playing with a plastic toy.	entailment	A dog is an animal. A Frisbee is a	An animal is jumping.	contradiction	A dog isn't an animal. A Frisbee is a	negation
Premise: A dog jumping for a Frisbee in the snow.	An animal is outside in the cold weather, playing with a plastic toy.	entailment	A dog is an animal. A Frisbee is a	An animal jumps for a Frisbee.	entailment	A dog is an animal. A Frisbee is not a	negation
Premise: A dog jumping for a Frisbee in the snow.	An animal is outside in the cold weather, playing with a plastic toy.	entailment	A dog is an animal. A Frisbee is a	An animal jumps for a Frisbee.	entailment	A dog is an animal. A Frisbee isn't a	negation
Premise: People are conversing at a dining table under a canopy.	People at a party are seated for dinner on the lawn.	neutral	A canopy is not a lawn.	People are conversing on the lawn.	contradiction	A canopy is a lawn.	negation
Premise: People are conversing at a dining table under a canopy.	People are screaming at a boxing match.	contradiction	People cannot be conversing at a dining table and screaming at a boxing	People are screaming at a boxing match.	entailment	People can be conversing at a dining table and screaming at a boxing	negation
Premise: A girl playing a violin along with a group of people	A girl is washing a load of laundry.	contradiction	The girl cannot be playing a violin and washing laundry at the same time.	A girl is washing laundry.	entailment	The girl can be playing a violin and washing laundry at the same time.	negation
Premise: A girl playing a violin along with a group of people	A girl is playing an instrument.	entailment	A violin is an instrument.	A girl is playing an instrument.	neutral	A violin is not an instrument.	negation
Premise: A girl playing a violin along with a group of people	A girl is playing an instrument.	entailment	A violin is an instrument.	A girl is playing an instrument.	entailment	A violin isn't an instrument.	negation
Premise: A girl playing a violin along with a group of people	A group of people are playing in a symphony.	neutral	A girl playing a violin along with a group of people does not imply	A girl is playing a violin with a group of people.	neutral	A girl playing a violin along with a group of people does imply	negation
Premise: A woman within an orchestra is playing a violin.	A woman is playing a concert.	neutral	Just because a woman is playing a violin does not mean she is playing	A woman is playing a violin.	neutral	Just because a woman is playing a violin does mean she is playing	negation
Premise: A woman within an orchestra is playing a violin.	A woman is playing the violin.	entailment	A woman within an orchestra is a woman.	A woman is playing a violin.	neutral	A woman within an orchestra is not a woman.	negation
Premise: A woman within an orchestra is playing a violin.	A woman is playing the violin.	entailment	A woman within an orchestra is a woman.	A woman is playing a violin.	neutral	A woman within an orchestra isn't a woman.	negation
Premise: A woman within an orchestra is playing a violin.	A woman is playing the violin.	entailment	A woman within an orchestra is a woman.	A girl is playing a violin.	neutral	A woman within an orchestra is a girl.	unrel_noun
Premise: A woman within an orchestra is playing a violin.	A woman is playing the violin.	entailment	A woman within an orchestra is a woman.	A male person is playing a violin.	neutral	A woman within an orchestra is a male person.	unrel_noun
Premise: A woman within an orchestra is playing a violin.	A woman is playing the violin.	entailment	A woman within an orchestra is a woman.	A person is playing a violin.	neutral	A woman within an orchestra is a person.	unrel_noun
Premise: A woman within an orchestra is playing a violin.	A woman is playing the violin.	entailment	A woman within an orchestra is a woman.	A man is playing a violin.	contradiction	A woman within an orchestra is a man.	unrel_noun
Premise: A woman within an orchestra is playing a violin.	A woman is playing the violin.	entailment	A woman within an orchestra is a woman.	A male is playing a violin.	neutral	A woman within an orchestra is a male.	unrel_noun
Premise: A woman within an orchestra is playing a violin.	A man is looking in a telescope.	contradiction	A woman is not a man.	A man is playing a violin.	contradiction	A woman is a man.	negation
Premise: Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	three men going to work	neutral	Just because three men are holding pipes and resting against a pipe bed on	Three men are not holding pipes	neutral	Just because three men are not holding pipes and resting against a pipe bed on	negation
Premise: Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	three men going to work	neutral	Just because three men are holding pipes and resting against a pipe bed on	Three men aren't holding pipes	contradiction	Just because three men aren't holding pipes and resting against a pipe bed on	negation
Premise: Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	three men going to work	neutral	Just because three men are holding pipes and resting against a pipe bed on	Three men are holding pipes and resting against a pipe chair on the truck.	entailment	Just because three men are holding pipes and resting against a pipe chair on	unrel_noun
Premise: Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	three men going to work	neutral	Just because three men are holding pipes and resting against a pipe bed on	Three men are holding pipes and resting against a pipe mattress on the truck.	contradiction	Just because three men are holding pipes and resting against a pipe mattress on	unrel_noun
Premise: Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	three men going to work	neutral	Just because three men are holding pipes and resting against a pipe bed on	Three men are awake on the street.	contradiction	Just because three men are holding pipes and resting against a pipe awake on	unrel_noun
Premise: Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	three men going to work	neutral	Just because three men are holding pipes and resting against a pipe bed on	Three men sleep on the truck.	neutral	Just because three men are holding pipes and resting against a pipe sleep on	unrel_noun
Premise: Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	three men going to work	neutral	Just because three men are holding pipes and resting against a pipe bed on	Three men are holding pipes and resting against a pipe sofa on the truck.	neutral	Just because three men are holding pipes and resting against a pipe sofa on	unrel_noun
Premise: Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	three men going to work	neutral	Just because three men are holding pipes and resting against a pipe bed on	Three men are holding pipes and resting against a pipe couch on the truck.	neutral	Just because three men are holding pipes and resting against a pipe couch on	unrel_noun
Premise: Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	three men going to work	neutral	Just because three men are holding pipes and resting against a pipe bed on	Three men are holding pipes and resting against a pipe floor on the truck.	neutral	Just because three men are holding pipes and resting against a pipe floor on	unrel_noun
Premise: Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	three men going to work	neutral	Just because three men are holding pipes and resting against a pipe bed on	Three men are holding pipes and resting against a pipe furniture on the truck.	contradiction	Just because three men are holding pipes and resting against a pipe furniture on	unrel_noun
Premise: Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	three men look at the camera	entailment	Three men are looking at the camera.	Three men are not looking at the camera.	entailment	Three men are not looking at the camera.	negation
Premise: Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	three men look at the camera	entailment	Three men are looking at the camera.	Three men aren't looking at the camera.	entailment	Three men aren't looking at the camera.	negation
Premise: Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	three men look at the camera	entailment	Three men are looking at the camera.	Three men are looking at the flash.	neutral	Three men are looking at the flash.	unrel_noun
Premise: Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	three men sleeping in a tent	contradiction	The men cannot be sleeping and looking at the camera simultaneously.	The men are sleeping.	neutral	The men can be sleeping and looking at the camera simultaneously.	negation
Premise: A Ford car is making a right turn as 3 males are walking across the street behind the car.	A car making a right turn had three pedestrians cross behind it.	entailment	Males are pedestrians.	The pedestrians are walking.	entailment	Males are not pedestrians.	negation
Premise: A Ford car is making a right turn as 3 males are walking across the street behind the car.	A car making a right turn had three pedestrians cross behind it.	entailment	Males are pedestrians.	The pedestrians are walking.	entailment	Males aren't pedestrians.	negation
Premise: A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a corner as walkers were crossing.	neutral	Not all cars are a sedan.	The car is a sedan.	contradiction	 all cars are a sedan.	negation
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are not walking.	entailment	Three boys are not walking behind an older model Ford car.	negation
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys aren't walking.	neutral	Three boys aren't walking behind an older model Ford car.	negation
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind an older model Ford horn.	entailment	Three boys are walking behind an older model Ford horn.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind an older Ford seat.	entailment	Three boys are walking behind an older model Ford seat.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind a four wheeled car.	neutral	Three boys are walking behind an older model Ford four wheels.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind an older car tires.	contradiction	Three boys are walking behind an older model Ford tires.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind an older filter.	entailment	Three boys are walking behind an older model Ford filter.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind an older model Ford car seats.	entailment	Three boys are walking behind an older model Ford seats.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind an older model Ford cdr.	neutral	Three boys are walking behind an older model Ford cdr.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind a truck.	entailment	Three boys are walking behind an older model Ford truck.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind a boat.	contradiction	Three boys are walking behind an older model Ford boat.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind the wheels of a Ford car.	entailment	Three boys are walking behind an older model Ford wheels.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind a four tire Ford car.	contradiction	Three boys are walking behind an older model Ford four tires.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind an older model Ford windows.	contradiction	Three boys are walking behind an older model Ford windows.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind an older model Ford many systems.	entailment	Three boys are walking behind an older model Ford many systems.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind an old motor oil.	entailment	Three boys are walking behind an older model Ford motor oil.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind a bus.	entailment	Three boys are walking behind an older model Ford bus.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind a bike.	contradiction	Three boys are walking behind an older model Ford bike.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind a crank.	entailment	Three boys are walking behind an older model Ford part called crank.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind an older car roof.	entailment	Three boys are walking behind an older model Ford roof.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind an older car with four tyres.	entailment	Three boys are walking behind an older model Ford four tyres.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment	Three boys are walking behind an older model Ford car.	Three boys are walking behind an engine.	entailment	Three boys are walking behind an older model Ford engine.	unrel_noun
Premise: Three boys in white shirts are walking behind an older model Ford car.	There are three girls	contradiction	Boys are not girls.	Three girls are walking behind a car.	entailment	Boys are girls.	negation
Premise: Three boys in white shirts are walking behind an older model Ford car.	The boys are on the street	entailment	Just because boys are walking behind a car doesn't mean they are on the	The boys are on the road.	neutral	Just because boys are walking behind a car does mean they are on the	negation
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some people blow out candles.	neutral	Three girls are not some people.	negation
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some people blow out candles.	contradiction	Three girls aren't some people.	negation
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some animals blow out candles.	entailment	Three girls are some animals.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some trees in yards blow out candles.	entailment	Three girls are some trees in yards.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some sex in bed.	neutral	Three girls are some sex in bed.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some tastes are in the cake.	neutral	Three girls are some various tastes.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some fun at discotheque.	entailment	Three girls are some fun at discotheque.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some pilots are blowing candles.	neutral	Three girls are some occupations as pilots.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some names are blowing candles.	neutral	Three girls are some names.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some muscles are in the cake.	entailment	Three girls are some muscles.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some skin colors are on the cake.	neutral	Three girls are some different skin colors.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some bizaar ideas.	neutral	Three girls are some bizaar ideas.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some ears are blowing candles.	contradiction	Three girls are some ears.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some favorite colors are on the cake.	entailment	Three girls are some favorite colors.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some people have no fingerprints.	neutral	Three girls are some no fingerprints.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some ceremonies in church.	entailment	Three girls are some ceremonies in church.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	There are some flaws in the cake.	neutral	Three girls are some flaws.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some problems controlling anger.	neutral	Three girls are some problems controlling anger.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some unlisted phone numbers are blowing out candles.	neutral	Three girls are some unlisted phone numbers.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some consciousness is blowing candles.	entailment	Three girls are some consciousness.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some good habits are being blown out.	contradiction	Three girls are some good habits.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some feelings are blown out.	neutral	Three girls are some feelings.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some complex problems are being solved.	contradiction	Three girls are some complex problems.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some emotions are blown out.	neutral	Three girls are some emotions.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some iguanfor pet blows out candles.	neutral	Three girls are some iguanfor pet.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some freedom of speech are blowing candles.	contradiction	Three girls are some freedom of speech.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some skin is blowing candles.	neutral	Three girls are some skin.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some favorite color is purple.	entailment	Three girls are some favorite color.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some spiritual experiences are being blown out.	neutral	Three girls are some spiritual experiences.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some one nose blows out the candles of a cake made of Peeps.	entailment	Three girls are some one nose.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some cat for pet.	neutral	Three girls are some cat for pet.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some differentskin colors are in the picture.	contradiction	Three girls are some differentskin colors.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some soft bodies blow out candles.	neutral	Three girls are some soft bodies.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some expensive wardrobes are blown out.	contradiction	Three girls are some expensive wardrobes.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some brains are blowing candles.	entailment	Three girls are some brains.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some hair is always growing.	neutral	Three girls are some hair always growing.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some eat to survive.	neutral	Three girls are some eat to survive.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	There is some natural rhythm.	entailment	Three girls are some natural rhythm.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some black hair blows out candles.	neutral	Three girls are some black hair.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some people eat.	neutral	Three girls are some eat.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some hazel eyes blow out the candles of a cake made of Peeps.	contradiction	Three girls are some hazel eyes.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some two arms are blowing candles.	contradiction	Three girls are some two arms.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some played sports.	entailment	Three girls are some played sports.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some muscles in body are rubbing together.	contradiction	Three girls are some muscles in body.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some three car garages are blown out.	entailment	Three girls are some three car garages.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some fish for pets are blowing out candles.	neutral	Three girls are some fish for pets.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some blood types blow out candles.	contradiction	Three girls are some different blood types.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some skin tones are on the cake.	neutral	Three girls are some different skin tones.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some dogs are for pets.	neutral	Three girls are some dogs for pets.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some fun at parties.	contradiction	Three girls are some fun at parties.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some favorite play.	contradiction	Three girls are some favorite play.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some short temper blows candles.	entailment	Three girls are some short temper.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some rights are being blown out.	entailment	Three girls are some rights.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some changing moods.	neutral	Three girls are some changing moods.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some brown hair blows out candles.	entailment	Three girls are some brown hair.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some gerbils are playing with a cake.	contradiction	Three girls are some gerbil for pet.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some two eyes are blowing candles.	entailment	Three girls are some two eyes.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some red hair blows out candles.	contradiction	Three girls are some red hair.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some ferrets are for pet.	neutral	Three girls are some ferret for pet.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some survived avalanches.	contradiction	Three girls are some survived avalanches.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some pet cats blow out candles.	entailment	Three girls are some pet cats.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some thier earlobes are pierced.	contradiction	Three girls are some thier earlobes pierced.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some pee every day.	contradiction	Three girls are some pee every day.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some strange fashion sense blows out the candles of a cake made of Peeps.	neutral	Three girls are some strange fashion sense.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some large homes are blowing candles.	contradiction	Three girls are some large homes.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some two lips are blowing candles.	neutral	Three girls are some two lips.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some phone numbers are unlisted.	contradiction	Three girls are some phone numbers unlisted.	unrel_noun
Premise: Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment	Three girls are some people.	Some lifestyles are blowing candles.	entailment	Three girls are some lifestyles.	unrel_noun
